"Date","CrudeOil","NaturalGas","Coal","PPI"
2005-05-01,89.7058565910463,90.4714284751115,54.9776785714286,154.3
2005-06-01,101.096768960859,100.133208934893,54.6428571428571,154.3
2005-07-01,105.712545856918,104.979261202652,54.5357142857143,156.3
2005-08-01,115.974486758294,114.072761474314,50.6907467532467,157.6
2005-09-01,115.57631443346,114.71828605356,48.3214285714286,162.2
2005-10-01,109.02284604271,110.064891681644,44.5280612244898,166.2
2005-11-01,103.183565654149,103.722352371102,40.6412337662338,163.7
2005-12-01,105.830992140396,106.563084233489,41.6892857142857,163
2006-01-01,117.101320251607,115.691815059512,45.6428571428572,164.3
2006-02-01,112.092102469366,111.72601088753,50.9196428571429,161.8
2006-03-01,114.316329985219,113.657115578647,53.2127329192547,162.2
2006-04-01,127.601418452322,125.626283105915,56.4702380952381,164.3
2006-05-01,128.845059760926,126.602425825733,56.7219387755102,165.8
2006-06-01,128.145792550678,125.952972013199,54.9107142857143,166.1
2006-07-01,135.97092292239,132.885209706125,56.9540816326531,166.8
2006-08-01,134.807264186773,132.103879221649,55.6339285714286,167.9
2006-09-01,116.620238453876,115.777090838116,51.8877551020408,165.4
2006-10-01,108.781549951463,109.018138300944,47.6907467532468,162.2
2006-11-01,109.224935969614,109.741302316227,48.2142857142857,164.6
2006-12-01,114.51851197883,114.379905747697,54.5103383458647,165.6
2007-01-01,100.518762407868,102.438034593254,55.762987012987,164
2007-02-01,108.082571341945,109.180244594458,56.00625,166.8
2007-03-01,113.845078825611,113.950367645856,56.924512987013,169.3
2007-04-01,122.283693211782,121.000184270414,58.0516917293233,171.4
2007-05-01,122.517549226251,121.413895861689,58.4566326530612,173.3
2007-06-01,128.081382312863,126.569368550061,63.1505102040817,173.8
2007-07-01,138.115936866814,135.241811934317,72.7938311688312,175.1
2007-08-01,131.633115888227,130.060019639612,74.8344155844156,172.4
2007-09-01,144.048232413219,140.47666502309,73.5535714285715,173.5
2007-10-01,153.840114011166,150.486050504721,79.5093167701863,174.7
2007-11-01,171.380794220708,166.828878070803,93.1168831168831,179
2007-12-01,168.047626838715,164.836875723016,98.9097744360902,178.6
2008-01-01,170.254160925277,168.610849779339,98.4862012987013,181
2008-02-01,175.337516047137,176.313695454521,141.887755102041,182.7
2008-03-01,191.09721627717,189.656035398199,137.763157894737,187.9
2008-04-01,204.236545947456,202.325457631177,131.737012987013,190.9
2008-05-01,230.520426878025,226.24164869401,143.075892857143,196.6
2008-06-01,247.007634238818,243.113002874222,166.989795918367,200.5
2008-07-01,249.662602197911,249.607241348483,195.186335403727,205.5
2008-08-01,215.2974151284,217.749781317025,173.303571428571,199
2008-09-01,187.060745329425,192.389071844635,164.498376623377,196.9
2008-10-01,136.33562728428,147.056218861256,119.366459627329,186.4
2008-11-01,101.244035438136,113.969856574629,101.382321428571,176.8
2008-12-01,77.7113476583772,91.440753346828,82.6086734693877,170.9
2009-01-01,82.5838455998567,95.0127950023346,85.5617346938775,171.2
2009-02-01,78.8257993598805,89.7827897470873,80.8226785714285,169.3
2009-03-01,87.8914509680145,93.670638890476,65.4521103896103,168.1
2009-04-01,94.54669025274,96.9448832786502,66.2705357142857,169.1
2009-05-01,109.279588692402,109.661584645832,67.0150375939849,170.8
2009-06-01,129.986473959105,127.924612124268,75.8133116883116,174.1
2009-07-01,121.644671610166,119.74924635654,77.6203416149068,172.5
2009-08-01,134.684875362681,130.477149817007,77.8821428571428,175
2009-09-01,128.465472709491,124.816005157408,73.1493506493506,174.1
2009-10-01,139.211730457119,134.803734096994,75.7037337662337,175.2
2009-11-01,145.824320729919,140.699981351327,82.2653061224489,177.4
2009-12-01,140.855773416812,137.645755944147,86.3596938775509,178.1
2010-01-01,144.949311962755,143.511831604723,100.14375,181.9
2010-02-01,140.395726065139,139.140984684986,98.1589285714284,181
2010-03-01,148.942972364736,146.255161881002,100.099378881987,183.3
2010-04-01,158.126457316832,155.121611437338,104.9625,184.4
